392	856	498	
589	71	505	
782	779	445	
190	688	74	
595	460	52	
357	711	771	
33	266	27	
26	190	480	
820	184	741	
164	384	449	
801	270	629	
598	100	906	
114	811	97	
833	176	641	
675	145	4	
357	656	737	
968	14	513	
516	312	100	
123	615	266	
357	543	409	
551	499	136	
860	558	619	
515	159	136	
426	781	737	
838	345	158	
447	345	643	
709	647	543	
713	566	160	
81	299	410	
979	538	419	
548	399	850	
754	70	578	
314	985	656	
168	547	106	
342	916	588	
630	8	474	
747	539	948	
306	410	692	
332	490	511	
263	34	389	
893	750	35	
223	6	430	
426	768	972	
921	280	64	
172	466	242	
302	425	662	
313	320	84	
203	190	691	
495	434	440	
853	813	981	
211	855	394	
915	43	552	
712	582	689	
679	123	806	
368	284	92	
891	614	714	
662	789	897	
710	809	366	
570	375	284	
757	581	43	
389	606	45	
286	446	617	
766	574	198	
368	679	606	
741	57	360	
555	717	762	
431	312	932	
879	349	905	
142	92	350	
540	382	23	
833	608	929	
875	565	401	
407	996	654	
138	992	623	
944	460	94	
597	190	230	
292	700	730	
624	302	277	
435	545	462	
775	203	72	
945	9	255	
392	741	365	
974	323	640	
31	906	329	
125	538	371	
459	258	125	
79	271	888	
912	141	801	
146	864	394	
65	212	849	
469	992	439	
42	3	609	
802	159	970	
799	100	359	
734	831	788	
79	587	68	
158	65	755	
944	994	334	
554	220	549	
261	899	65	
